age_rating,film_length,meta_Data,name,occurrence,plot,rating,release_year
PG-13,1h 33m,,Beasts of the Southern Wild,,"Faced with both her hot-tempered father's fading health and melting ice-caps that flood her ramshackle bayou community and unleash ancient aurochs, six-year-old Hushpuppy must learn the ways of courage and love.",7.2,2012
PG-13,2h 3m,,A Separation,,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,8.3,2011
PG-13,1h 38m,,Men in Black,,"James, an NYC cop, is hired by Agent K of a secret government agency that monitors extraterrestrial life on Earth. Together, they must recover an item that has been stolen by an intergalactic villain.",7.3,1997
R,2h 36m,,Scent of a Woman,,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",8.0,1992
TV-MA,1h 42m,,Nobody Sleeps in the Woods Tonight,,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,4.9,2020
PG-13,1h 37m,,A Quiet Place Part II,,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",7.2,2020
TV-MA,1h 36m,,Murder to Mercy: The Cyntoia Brown Story,,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",6.4,2020
PG-13,1h 44m,,The Half of It,,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",6.9,2020
R,1h 36m,,Body Cam,,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.3,2020
R,1h 37m,,Moon,,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.",7.8,2009
R,2h 4m,,"Synecdoche, New York",,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",7.5,2008
R,2h 40m,,The Assassination of Jesse James by the Coward Robert Ford,,"Robert Ford, who has idolized Jesse James since childhood, tries hard to join the resurgent gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader.",7.5,2007
PG,1h 22m,,Adventures of Rufus: The Fantastic Pet,,"Scott and Emily are at his grandmother's home when they suddenly discover a mysterious creature. They have a mission: with the help of an ancient spell book, they'll gather some ingredients to make a magic dust to save their world.",4.1,2020
TV-MA,1h 38m,,#Alive,,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",6.3,2020
Not Rated,1h 56m,,Peninsula,,"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",5.5,2020
R,2h 17m,,The Lives of Others,,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.",8.4,2006
R,1h 46m,,Broken Flowers,,"As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers.",7.1,2005
R,2h 17m,,Kill Bill: Vol. 2,,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",8.0,2004
R,1h 42m,,Lost in Translation,,A fading movie star falls for a lonely young woman in Tokyo.,7.7,2003
TV-MA,1h 37m,,Uncle Peckerhead,,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie.",5.9,2020
TV-MA,1h 36m,,Cuties,,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.,3.6,2020
PG-13,1h 34m,,The New Mutants,,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3,2020
R,1h 55m,,Adaptation.,,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,7.7,2002
R,2h 27m,,Mulholland Drive,,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality.",7.9,2001
R,1h 53m,,Memento,,"Leonard Shelby, an insurance investigator, suffers from anterograde amnesia and uses notes and tattoos to hunt for the man he thinks killed his wife, which is the last thing he remembers.",8.4,2000
PG-13,2h 3m,,Enola Holmes,,"When Enola Holmes, Sherlock's sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",6.6,2020
R,1h 21m,,The Blair Witch Project,,"Three film students vanish after traveling into a Maryland forest to film a documentary on the local Blair Witch legend, leaving only their footage behind.",6.5,1999
R,1h 40m,,Dark City,,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",7.6,1998
Not Rated,1h 48m,,Funny Games,,"Two violent young men take a mother, father, and son hostage in their vacation cabin and force them to play sadistic ""games"" with one another for their own amusement.",7.5,1997
R,1h 33m,,Trainspotting,,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out despite the allure of drugs and the influence of friends.",8.1,1996
R,1h 51m,,Leaving Las Vegas,,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",7.5,1995
